case_id,Gerichtstyp,Dieselmotor_Typ,Art_Abschalteinrichtung,KBA_Rueckruf,Fahrzeugstatus,Fahrzeugmodell_Baureihe,Update_Status,Kilometerstand_Kauf,Kilometerstand_Klageerhebung,Erwartete_Gesamtlaufleistung,Kaufdatum,Uebergabedatum,Datum_Klageerhebung,Beklagten_Typ,Datum_Urteil,Kaufpreis,Nacherfuellungsverlangen_Fristsetzung,Klageziel,Rechtsgrundlage,LABEL_Anspruch_Schadensersatz,LABEL_Schadensersatzhoehe_Betrag,LABEL_Schadensersatzhoehe_Range,Nachweis_Aufklaerung
2090187,Landgericht,,,True,Neuwagen,"VW Passat 2,0 l TDI",False,,,,,,,Händler,,31234.0,Ja,Rückabwicklung,"§ 437 BGB, § 439 BGB, § 434 BGB",False,,Abgewiesen,
2112111,,EA 189,Umschaltlogik,True,Neuwagen,"1,6l TDI",,,,,,2010-12-20,,Hersteller,,28486.76,Entbehrlich,Rückabwicklung,§ 826 BGB,True,17311.86,15000-20000,
2112115,Landgericht,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW Touran 1.6 TDI,False,10200.0,62000.0,,2013-11-15,2013-12-20,2016-07-05,Händler,,20900.0,Ja,Rückabwicklung,"§ 434 Abs. 1 S. 2 Nr. 2 BGB, § 437 Nr. 2 BGB, § 323 BGB, § 346 Abs. 1 BGB",True,15710.8,15000-20000,
2112117,,EA 189,Umschaltlogik,True,Neuwagen,VW Touran Comfortline 1.6 l TDI,False,,,,2014-10-02,2014-10-12,,Hersteller,,31377.75,Entbehrlich,Rückabwicklung,§ 346 Abs. 1 BGB,True,27667.27,> 25000,
2112118,,EA189,Umschaltlogik,True,Neuwagen,VW Touran Comfortline,False,,,,,,,Händler,,27000.01,Entbehrlich,Rückabwicklung,"§ 346 Abs. 1 BGB, § 437 Nr. 2 BGB, § 323 BGB, § 440 Satz 1 Var. 3 BGB",True,23872.11,20000-25000,
2112119,,EA 189,Umschaltlogik,True,Gebrauchtwagen,"VW Touran 2,0 L TDI",False,,,,2015-06-23,,2016-08-02,Händler,,31999.0,Entbehrlich,Rückabwicklung,"§§ 346 Abs. 1, 348 i.V.m. §§ 437 Nr. 2, 440 Satz 1 Var. 3, 323 Abs. 1 BGB",True,28695.64,> 25000,
2112121,Landgericht,EA 189,Umschaltlogik,True,Neuwagen,VW Touran 2.0 TDI,False,,,,,2013-05-13,,Händler,,28068.0,Ja,Rückabwicklung,§ 434 BGB,True,9872.2,5000-10000,
2112123,,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW Beetle Cabrio 2.0 TDI,False,,,,2015-06-01,,,Hersteller,,27390.0,Entbehrlich,Schadensersatz,"§ 826 BGB, § 31 BGB",True,,,
2126821,,,"Thermofenster, Prüfstanderkennung, unzureichende Harnstoffdosierung",True,Neuwagen,Porsche Macan S Diesel,False,0.0,38518.0,,,,,Hersteller,,74500.0,Entbehrlich,Schadensersatz,§ 826 BGB,True,,,
2130160,Landgericht,,,,,,,,,,,,,Hersteller,,,,Schadensersatz,Deliktische Schadensersatzansprüche (Kapitalmarktrechtliche Publizitätspflichten i.V.m. KapMuG),True,3186926.06,> 25000,
2135880,,EA 189,Umschaltlogik,True,Neuwagen,"VW Sharan Comfortline BlueMotion Technology 2,0 L TDI SCR 103 kW",False,,,,2014-09-08,2015-01-23,,Händler,,41600.0,Ja,Rückabwicklung,"§§ 439 Abs. 1, 434 Abs. 1, 437 Nr. 1 BGB",True,1706.94,< 5000,
2137518,,EA 189,,True,Neuwagen,Audi Q3 2.0 TDI quattro,False,,,,2013-06-18,2013-08-13,2016-12-13,Händler,,43650.0,Ja,Rückabwicklung,§ 437 Nr. 1 i.V.m. § 439 Abs. 1 BGB,False,,Sonstige,
2137519,,EA 189,,True,Gebrauchtwagen,VW Passat Variant Comfortline 2.0,True,,,,2013-08-13,2013-08-19,,Händler,,24500.0,Nein,Rückabwicklung,"§§ 434, 435, 437 Nr. 2, 440, 323 BGB",False,,Abgewiesen,
2137544,,EA 189,Prüfstandserkennung,True,Gebrauchtwagen,VW Tiguan 2.0 TDI,False,18234.0,,,2015-08-07,2015-08-11,2017-03-02,Händler,,32500.0,Nein,Minderung,"§§ 434, 437 Nr. 2, 441 Abs. 3 und 4 BGB",True,4875.0,< 5000,
2137572,,,,,Neuwagen,Audi Q3 2.0 TDI Quadro,,,,,2011-10-26,2011-10-26,,Händler,,40186.23,Ja,Rückabwicklung,"§§ 437 Nr. 2, 433, 434, 323 Abs. 1, Abs. 5 S. 2, 346 Abs. 1 BGB",False,,Abgewiesen,
2137573,Landgericht,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW CC 2.0 TDO,True,27129.0,,200000.0,2015-06-30,2015-07-14,,Händler,,33800.0,Entbehrlich,Rückabwicklung,"§§ 433, 434, 437 Nr. 2, 440, 323 Abs. 1, 346 BGB",True,26093.74,> 25000,
2137581,Landgericht,,Umschaltlogik,True,Neuwagen,VW Tiguan 2.0l TDI,False,,,,2013-10-10,2014-01-13,,Händler,,36118.18,Entbehrlich,Rückabwicklung,"§§ 434, 437 Nr.2, 440, 323 Abs.1, 346 BGB",True,31006.01,> 25000,
2137584,,EA 189,Umschaltlogik,True,Neuwagen,VW Touran Highline 2.0 TDI,False,,68569.0,,2010-09-24,,,Hersteller,,30940.01,Entbehrlich,Rückabwicklung,"§§ 434, 437 Nr.2, 440, 323 Abs.1, 346 BGB",True,22453.91,20000-25000,
2137586,Landgericht,EA 189,Umschaltlogik,False,Gebrauchtwagen,VW Tiguan 2.0 TDI,,28860.0,,,,2014-07-30,,Hersteller,,33500.0,Ja,Schadensersatz,§ 826 BGB,True,,,
2137639,Landgericht,EA189,Umschaltlogik,True,Neuwagen,Skoda Roomster 1.6 TDI,False,,,,2013-10-29,2014-01-16,,Händler,,14660.0,Ja,Rückabwicklung,"§§ 437, 439, 323 BGB",False,,Abgewiesen,
2137644,,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW Golf 1.6 TDI BMT Style,False,87745.0,,,2015-09-01,2015-09-10,,Händler,,11180.0,Entbehrlich,Rückabwicklung,"§§ 434, 437 Nr.2, 440, 323 Abs.1, 346 BGB",True,10868.26,10000-15000,
2137658,,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW Tiguan 2.0l TDI,False,9990.0,,,2014-08-04,2014-08-04,,Händler,,35410.0,Nein,Rückabwicklung,"§ 123 BGB, §§ 346, 323, 437 Nr. 2, 434 BGB",False,,Abgewiesen,
2138602,Landgericht,EA 189,Umschaltlogik,True,Neuwagen,VW Tiguan,False,,,,2010-02-24,2010-07-23,,Händler,,39555.01,Ja,Rückabwicklung,"§§ 437 Nr. 1, 439 Abs. 1 BGB",False,,Abgewiesen,
2138608,Landgericht,EA 189,Umschaltlogik (Prüfstanderkennung),True,Gebrauchtwagen,"FK 2,0 l TDI 103 kW (140 PS)",False,16200.0,,,2014-10-14,2014-10-24,,Händler,,26490.0,Nein,Rückabwicklung,"§§ 346 Abs. 1, 348, 437 Abs. 2, 323, 434 BGB",False,,Abgewiesen,
2138664,,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW Golf VI Variant,False,109164.0,,,2014-07-14,,,Händler,,13360.0,Entbehrlich,Rückabwicklung,"§§ 346 Abs. 1, 348 i.V.m. § 437 Nr. 2, § 440 Satz 1 Alt. 3, 323 Abs. 1 BGB",True,13360.0,10000-15000,
2140226,,EA189,Umschaltlogik,True,Gebrauchtwagen,"VW Golf Plus Team 1,6 TDI DPF",False,3595.0,93448.0,300000.0,2012-02-10,2012-02-13,,Händler,,18390.0,Ja,Rückabwicklung,§ 437 BGB,True,12592.16,10000-15000,
2140233,,,Thermofenster,True,Neuwagen,X Diesel,False,,,,2014-12-19,2015-05-05,,Hersteller,,85200.0,Nein,Schadensersatz,§ 826 BGB,True,,,
2140276,Landgericht,EA189 EU5,Fahrzykluserkennung,True,,VW Golf VI Variant Euro 5,True,,,,,,2017-03-28,,,,,Unterlassung,"§ 1004 Abs. 1 S. 2 BGB analog i.V.m. §§ 823, 824 Abs. 1 BGB",False,,Sonstige,
2141123,,EA 189 EU 5,"Software ausgestattet, welche den Stickoxidausstoß (NOx-Emissionen) im Prüfstandlauf (NEFZ) optimiert.",True,Neuwagen,Pkw des Typs B H 1.6 TDI,False,,,,2014-03-13,2014-04-07,,Händler,,31237.0,Nein,Rückabwicklung,"§§ 346, 348 BGB i.V.m. §§ 437 Nr. 2, 434 Abs. 1 Satz 2 Nr. 2, 440, 323 BGB",False,,Sonstige,
2142118,Landgericht,EA ...#,Software zur Beeinflussung des Stickoxidausstoßes im Prüfstandlauf (NEFZ),True,Gebrauchtwagen,VW Cabriolet,False,,,,2015-09-04,,,,,26982.55,Ja,,"§§ 437 Nr. 2 Alt. 1, 434, 323 BGB",False,,Sonstige,
2142497,,EA 189,Umschaltlogik,True,Gebrauchtwagen,VW Passat CC 2.0 TDI,False,45500.0,131559.0,,2014-08-06,2014-08-06,2016-08-02,Händler,,18880.0,Entbehrlich,Rückabwicklung,"§§ 346, 348, 437 Nr. 2, 323 BGB",True,18880.0,15000-20000,
2142508,,...,Manipulationssoftware / Prüfstandserkennung,True,Neuwagen,"W ... 2,0 TDI",False,,,,2013-08-16,2013-08-23,,Händler und Hersteller,,36600.0,Ja,Rückabwicklung,"§§ 346, 347, 437 Nr. 2, 323 BGB",True,34689.48,> 25000,
2142871,,EA 189,Umschaltlogik,True,Gebrauchtwagen,"Audi A4 2,0 l TDI",,26432.0,,,2012-04-27,,,Händler,,29950.0,Entbehrlich,Rückabwicklung,§ 346 BGB,True,19483.35,15000-20000,
2142918,,EA 189,Umschaltlogik,True,Neuwagen,Audi A4,True,,,,2013-08-09,,,Hersteller,,25000.0,,Rückabwicklung,§ 826 BGB,False,,Abgewiesen,
2143394,,,,,,"A a ""B""",,,,,,,,,,37845.32,,Rückabwicklung,"§§ 495 Abs. 1, 355 Abs. 1 BGB, §§ 356 b, 492 Abs. 2 BGB, Artikel 247 §§ 6 bis 13 EGBGB",False,,Sonstige,
2143927,,$$ ...# EU5,Umschaltlogik,True,Neuwagen,"F 1,6 l",False,,,,2010-01-29,,,Hersteller,,21096.0,Ja,Rückabwicklung,§ 823 Abs. 2 BGB i.V.m. § 27 EG-FGV,True,13313.19,10000-15000,
2143928,Landgericht,EA 189,Umschaltlogik,True,Gebrauchtwagen,Y,False,5700.0,70180.0,300000.0,2011-09-23,,2017-09-18,Hersteller,,28990.0,Entbehrlich,Rückabwicklung,"§§ 826, 823 Abs. 2 iVm § 263 StGB",True,21913.35,20000-25000,
2143930,Landgericht,$$ ...#,Software-Manipulation (Umschaltlogik),True,Gebrauchtwagen,"H A 1,6 $$$ $$$",,6082.0,,,2013-10-05,2013-10-12,2016-06-08,Hersteller,,17800.0,Entbehrlich,Rückabwicklung,§ 826 BGB,True,15636.88,15000-20000,
2143943,Landgericht,EA 189,Umschaltlogik,True,Neuwagen,"Skoda Yeti Ambition 2,0 l TDI",False,15.0,,300000.0,2010-11-29,,2018-01-24,Händler,,28850.0,Entbehrlich,Rückabwicklung,"§§ 346 Abs. 1, 348, 437 Nr. 2, 323 Abs. 1, 434, 433 BGB",True,12596.49,10000-15000,
2143952,Landgericht,$$ ...#,Prüfstanderkennungssoftware,True,Gebrauchtwagen,"B $# 2,0l &&&",False,62200.0,,,2014-05-06,2014-05-09,2016-05-03,Händler,,21990.0,Entbehrlich,Rückabwicklung,"§§ 437, 323, 346 BGB",True,12256.05,10000-15000,
2144797,,EU5,Umschaltlogik,False,Neuwagen,W2 #$...#$ U,,,,,2012-11-08,2013-03-30,,Händler,,42750.0,Nein,Rückabwicklung,§ 437 BGB,False,,Abgewiesen,
